2022,sunrise time,Zenith,CF Sunset,Day length,Astronomical twilight start,Nautical twilight start,Civil twilight start,Civil twilight end,Nautical twilight end,Astronomical twilight end,
01-Jan,9:19 AM,1:17 PM,5:15 PM,07:55:17,+1:03,7:16 AM,7:56 AM,9:19 AM,5:15 PM,6:37 PM,7:18 PM
02-Jan,9:19 AM,1:17 PM,5:16 PM,07:56:28,+1:11,7:16 AM,7:56 AM,9:19 AM,5:16 PM,6:38 PM,7:19 PM
03-Jan,9:19 AM,1:18 PM,5:17 PM,07:57:44,+1:16,7:16 AM,7:56 AM,9:19 AM,5:17 PM,6:39 PM,7:20 PM
04-Jan,9:19 AM,1:18 PM,5:18 PM,07:59:06,+1:22,7:16 AM,7:56 AM,9:19 AM,5:18 PM,6:40 PM,7:21 PM
05-Jan,9:18 AM,1:19 PM,5:19 PM,08:00:34,+1:28,7:16 AM,7:56 AM,9:18 AM,5:19 PM,6:41 PM,7:22 PM
06-Jan,9:18 AM,1:19 PM,5:20 PM,08:02:08,+1:34,7:15 AM,7:56 AM,9:18 AM,5:20 PM,6:42 PM,7:23 PM
07-Jan,9:18 AM,1:20 PM,5:21 PM,08:03:47,+1:39,7:15 AM,7:56 AM,9:18 AM,5:21 PM,6:44 PM,7:24 PM
08-Jan,9:17 AM,1:20 PM,5:23 PM,08:05:32,+1:45,7:15 AM,7:55 AM,9:17 AM,5:23 PM,6:45 PM,7:25 PM
09-Jan,9:17 AM,1:20 PM,5:24 PM,08:07:22,+1:50,7:15 AM,7:55 AM,9:17 AM,5:24 PM,6:46 PM,7:26 PM
10-Jan,9:16 AM,1:21 PM,5:25 PM,08:09:18,+1:56,7:14 AM,7:55 AM,9:16 AM,5:25 PM,6:47 PM,7:27 PM
11-Jan,9:16 AM,1:21 PM,5:27 PM,08:11:18,+2:00,7:14 AM,7:54 AM,9:16 AM,5:27 PM,6:48 PM,7:28 PM
12-Jan,9:15 AM,1:22 PM,5:28 PM,08:13:25,+2:07,7:14 AM,7:54 AM,9:15 AM,5:28 PM,6:49 PM,7:30 PM
13-Jan,9:14 AM,1:22 PM,5:30 PM,08:15:35,+2:10,7:13 AM,7:53 AM,9:14 AM,5:30 PM,6:51 PM,7:31 PM
14-Jan,9:13 AM,1:22 PM,5:31 PM,08:17:51,+2:16,7:13 AM,7:53 AM,9:13 AM,5:31 PM,6:52 PM,7:32 PM
